M
Dipl.-Ing. (Uni) - Fertigungsmittelentwicklung
Scheibenschleifer
Hausmeister - Hauswirtschaftlicher Beruf
Vertragsbedienstete (Büro)
Fotoingenieur
Dipl.-Rehabilitationspädagoge (Uni)
Organist angestellt
Papiermacher
Beratender Betriebswirt
"Feinmechanikermeister, überwiegend aufsichtsführend"
Berater - Abiturienten und Hochschüler
Trainer - Leistungszentren (Segeln)
Sozialhelfer
Müllsortierer
Vigogneweber
Gepäckabholer
Presser Textilausrüstung
Galvaniseur u. Metallschleifer
Student Darstellende Kunst
"Bergmechaniker - Bergbau, unter Tage"
Persönlicher Referent (Generalmusikdirektor)
Industriemeister - allgemein
Rangierer
Ballett-Tänzer
Sandsteinversetzer (nicht Steinmetz)
Bühnenbeleuchtungsmeister
Fettmischer
Fernleitungsmonteur (Anlagentechnik)
"Ösmaschinenarbeiter (Etui-, Kartonagenherstellung)"
Überholer
Elektroanlagenfachkraft (§66 BBiG/§42m HWO)
Beleuchtungsanlagentechniker
Hotelportier 
Holzschutzsachverständiger
Ausbaufacharbeiter
Compliance-Manager
Fruchtkocher
Walzenführer (Walzwerk)
Kommunaler Gebäudewirt
Leiter - betriebliche Aus- und Weiterbildung
Desinfektoren
Samtweber
Perlenschleifer
Honorarprofessor
Orthopädiemechaniker und Bandagist
Orthopädist - Prothetik
Orgeldreher
Barschankdame
Absatzüberzieher
Straußbinder
Türenbauer
Kabeltrommelmontierer
Reisebürokaufmann/-kauffrau
Fellsortierer (Fellverarbeiter)
Lebensmittelchemiker
Plasmaphysiker
Dipl.-Krankenschwester/-pfleger (Uni)
"Elektrogerätemontierer, Elektroteilemontierer"
Spielhallenaufseher
Mathematiker - allgemeine Mathematik
Verzahnungsstoßer
Medizinisch-technischer Fachassistent - Radioonkologie
"Töpfer, überwiegend handwerklich"
Lochschleifer
Bachelor of Arts - Business Communication Management
Berater - Baufinanzierungen
Formentischlerhelfer
Abraumhauer
Zahnmedizinischer Assistent
Kälteisolierermeister
Multimedia Projektleiter
Lehrkraft für besondere Aufgaben - Hochschulen
Beauty-Stylist
Schaufelstielmacher
Farbmetriker
Getränkehersteller
Facharbeiter - Schreibtechnik (Datentypist )
Leiter - EDV
Elektroniker - Fluggerät
Importkaufmann
Keramformer - Gefäße
Direktor - Heilpraktikerausbildungsstätten
Betriebsmanager - Bau- und Holztechnik
Wirtschaftsstatistiker
Maschineningenieur (FS) - Luftfahrzeugtechnik
"Tiefbohrfacharbeiter, an Land - Erdölförderung 'Ausland'"
Soldat ohne gefährl Tätigkeit
Lagerlistenführer
Therapeut - Sehstörungen
"Rindviehzüchter, -wirte"
Kerzengießer
Beifahrer Lager und Transport
Industriemeister - Werksbahnbetrieb
"Taucher, o.n.A."
Techniker - Schuhtechnik (Modellgestaltung)
Steinbrechmaschinenarbeiter
Maschinenknopflochnäher (Textilnäher )
Kreidelithograf
Master of Science - Agrartechnik
Facharbeiter - Anlagentechnik (Plattenwerkstoffe)
Bistumsverweser
Lagerhelfer
Polizeivollzugsbeamter - Verkehrspolizei (geh. Dienst)
"Betriebswirt (Hochschule) - Partei, Verband"
Fachwirt - Messe- und Kongresswesen
Chirurg
Stellvertretender Schulleiter
Tierpflegerhelfer
Gummistrangmaschinenführer
Matrose/Matrosin - Handelsschifffahrt
Fachkraft - Lebensmitteltechnik
Zylindersäger
"Polizeibediensteter, reine Verwaltungstätigk."
Fernkabelmonteur
"Beschleunigungsrennfahrer - Berufssport, Automobil"
Diplom Musiktherapeut
Handwerksmeister - Gerberei
Backpulvermacher
Finanzierungsberater
Meister - Mühlenindustrie
Bremsenschlosser (Bahn)
Lehrer - Stimmbildung und Sprachheilkunde
Dipl.-Tonmeister
Geophysiker Öl Inland
Anreißer (Schlosser)
Animateur - Hotel- und Kurbetrieb
Agrochemiker
Keramiker handwerklich
Facharbeiter - Textiltechnik (Textilveredelung)
Mikrofilmoperator
Ingenieur - Dampferzeugeranlagen
Bauhofarbeiter
Schäfereileiter
Betonelementeproduktionsmeister
Feintechniker (Elektro)
Schiffbauer (nicht Eisenschiff)
Sparkassendirektor
"Strahlenschutzassistent, Sperrbereich - Energie, Atomindustrie"
Senkgrubenreiniger
Vorstecker (Nieten)
Maschinenhauer (Bergmann)
Wachkapitän
Separatorensteuerer radioaktive Stoffe
Gattersäger (Stein)
Hotel- u. Gaststättengehilfe
PVC Verleger
Fachkraft - CAD-Technik (Holz)
Rodelmacher
Fachkraft - Lederherstellung und Gerbereitechnik
Buchhaltungsleiter
Speiseölfacharbeiter
Techniker - Bautechnik (Verkehrsbau)
Orchesterwart
Porzellanknopfmacher
Dipl.-Ing. (FH) - Elektrotechnik (techn. Informatik)
Techniker - Gebäudesystemtechnik
Betriebstechniker 
Dipl.-Ing. (Uni) - Markscheidewesen/Geodäsie
Laborant - Textil
Kunststoffformgeber
Facharbeiter - Schutzanstriche
Achsenschleifer
Hammerschmiedehelfer
"Isolierer (Kälte, Schall, Wärme)"
Technischer Modellbauer - Anschauung
Schriftleiter
Marmorschneider
Hostess
Schotterwerksteuerer
Bausachverständige
"Reviersteiger, aufsichtsführend"
Versuchsbäcker
Bierbrauer
Facharbeiter - Eisenbahntransporttechnik
Dammsetzer
"Beizer- und Polierermeister, überwiegend körperlich tätig"
Student Informatik
Elektroniker - Telekommunikationstechnik
Dipl.-Ing. (BA) - Wirtschaftsingenieurwesen
Raumausstatterhelfer
Gemeinschaftspfleger (Sozialpfleger )
Betonmaschinist
Verfahrenstechniker (Akademiker)
Instandhaltungsarbeiter
Risikoberater
"Bibliotheks-, Dokumentationsbeamter (mittl. Dienst)"
Dipl.-Ing. (Uni) - Fördertechnik
Mineralölverkäufer
Lederschneider Schuhe
Bachelor of Science - Wirtschaftsingenieurwesen
Schnittzeichner
Kälteanlageninstallateurhelfer
Pilot Flugzeugambulanz
Tischlerhelfer
Gestütsgehilf(e )
Luftfahrzeugtechniker (Lehre/Fachschule)
Ausbesserer Textil
Fitnessinstruktor
Fachjournalist
Tiefbohrfacharbeiter Öl auf See Inland
Irankundler
Feldgärtner
Gerichtsdolmetscher
Network Control Operator
Münzpräger
Zylinderdreher
Meister - Schienenverkehr
Catcher
Büttnermeister
Dipl.-Restaurator (FH) - Holzobjekte
Papiertechniker - alle Fachrichtungen
Aktienanalyst
Zollbeamter (mittl. Dienst)
Fachkraft - Lederverarbeitung
Bergbaumaschinentechn unter Tage
Immobilientaxator
Helfer - Maschinenschlosserei
Siloverwalter
Meister - Brauerei und Mälzerei
Fachwirt - betriebliches Management
Chemietechniker - Chemie (sonst. Gefahrstoffe)
Facharbeiter - Textiltechnik (Untertrikotagen/Handschuhe)
Trambahnführer
Facharbeiter - Druckformenherstellung (Stereotypie Galv.)
Warenausgeber
Dipl.-Ing. (Uni) - Elektrotechnik/Elektroniktechnologie
Kasinowirt
Weinabfüller
Glasarbeiter - Glasherstellung
Hallenchef (Hallenkellner )
Maschinenfahrer - Metallverarbeitung
Trennschleifer
Bauingenieur (FS) - Hochbau
Organisationsfachmann
Bauschlosser - nur aufsichtsführend tätig
Physikrat mit Sprengstoffumgang
Meister - Leit- und Sicherungstechnik
Techn. Assistent - Chemische u. biologische Laboratorien
"Mitarbeiter ,Teamassistent - Einkauf/Beschaffungswesen"
Organisationsentwickler
Fluglotse
Rehabilitationsmitteltechniker
Pharmakanten
Chemieverfahrenstechn. (Berufsbild. höhere Schule)
Reitlehrer - Behindertensport
Elektroinstallateur im Elektrizitätswerk
Maschinenbautechniker - Betriebsmittel/Werkzeugbau
Ingenieur Landespflege
Ein und Nachflieger
Waldheger
Wissensmanagementsystementwickler
Chemiker - Chemie (Sprengstoffumgang)
Meister - Funktechnik
BGS gefährl Tätigkeit 
Dipl.-Ing. - Fahrzeugbau (Karrosseriebau)
Bar-Commis (Barkellner )
Altenpflegeschulleiter
Versuchsküchenleiter
Erkundungsbohrtechniker
Kundendienstmechaniker (Spinnereimaschinen)
"Schreinermeister, überwiegend körperlich tätig"
Bachelor of Arts - Business Administration
Industriemechaniker - Fachrichtung Maschinen- und Systemtechnik
Maschinist (Transportmittel u. Hebezeuge)
Assistenzarzt (Uni) - Transfusionsmedizin
Meistervertreter
Verwaltungsangestellter (mittl. Dienst) - Kommunalverwalt.
Veranstaltungsingenieur
Techniker - Maschinentechnik (Betriebsmitteltechnik)
Kunststoffknopfmacher
Stenograf
Apotheker (Uni)
Fachkraft für Metalltechnik
Sicherheitswachtmeister
Apothekenschwester/-pfleger
Lehrorthoptist
Kodierer
Dipl.-Ing. (FH) - Umweltschutz
Zweiradmechaniker - Fertigung
Fördergutaufbereiter
Maschinenfräser
Leistungssachbearbeiter Krankenkasse
Ausbäcker
Zahnmedizinische(r) Prophylaxehelfer
Fischer - Muschelfischerei
Fotomedienlaborant
"Besatzung, Hubschrauber, ADAC"
Autoradiomonteur
Marketingfachleute
Montageleiter (Informationstechnik)
Autoelektromechaniker
"Master of Science - Empirische Ökonomik, Politikberatung"
Elektronenstrahlschweißer
Koch/Köchin
Finanzkaufmann - Geld und Kredit
Wartungsarbeiter
Bordmonteur
Fachberater - orthopädische Hilfsmittel
Kommunikationselektroniker - Informationstechnik
Elektrotechniker (Berufsbild. höhere Schule)
Warenprüfer
Revierjagdmeister
"Sandstrahlbläser - Maschinen-, Behälterreinigung"
Maschinist - Gleisbaugeräte
Abteilungsleiter (Brennerei)
Fachberater - Außendienst
Betonbauer
Kühlhausverwalter
Flechtwarenhelfer
Angerber
Stanniolschläger
Disponent Eisenbahn
Genußmittelkoster
Spitzmüller
"Geophysiker, Innendienst - Erdgasförderung 'Ausland'"
Solomusiker
Schiffsmechaniker - Maschinendienst
Löscher (Schiffsfracht)
Schmiedpresser (Warmpresser)
Kulturbauhelfer
Gestalter - Glas
Bandsägenführer
Dritter Nautischer Schiffsoffizier (FH)
Brandschutzfachkraft (Brandschutzmonteur )
Medientechnischer Assistent
Feldhüter
Spielleiterassistent
"Sprengstoffexperte - Bergbau, über Tage"
Maschineningenieur (FS) - Fügetechnik
Instrumentalmusiker (Solist)
Gitarrenspieler
Aufseher Strafanstalt
Kühlanlagenbediener (Lebensmittelherstellung)
Meister - Haushaltgeräteinstandsetzung
Fachkaufmann - DV-Organisation/Datenkommunikation
Master of Science - Comparative Literature - Komparatistik
Raffinierer Papier
Tiefbohrer 
Kleintransportunternehmer
Sanitäter
Meteorologe
Schellenschmied
Textillaborant - chemisch-technisch
Techniker (Gartenbau-)
Physiker - Physik (entzündl. Stoffe)
Vollzugsbeamter (geh. Dienst)
Betriebstechniker Elektronik
"Kerammaler- u.Dekorierermeister, überwiegend körperlich tätig"
Master of Science - Pflanzenproduktion
Fugenausgießer
Biomed. Fachanalytiker - Histologie
Fachanwalt - Sozialrecht
Neurophysiologisch-techn. Assistent
Justizvollzugshauptsekretär
Lehrkardiotechniker
Konfiseur
Spinner (Textil)
Blaudrucker
Spargelanbauer
Richter (Jurist)
Tanzmeister
Master of Science - Materialwissenschaften
Qualitätsbeauftragter/-beauftragte - Management
Fotograf (allgemein)
Mechaniker Elektrizitätswerk
Industriemeister - Hüttenindustrie
Facharbeiter - Keramtechnik (Feinkeramik)
Wagenmeister nicht Eisenbahn
Facharbeiter - Anlagentechnik (Halbleitertechnik)
Fachwirt - Verlag/Absatzförderung
Facharbeiter - Textiltechnik (Nähwirkerei)
Fachkraft - Hafenlogistik
Chemielaborwerker ohne Gefahrstoffe
Kritiker
Monteur - Fertighäuser (Beton)
Verkaufsgärtner
Helfer - Hauswirtschaft
Abschleppwagenfahrer
Techniker - Kohleveredelung
Werkzeugfachmann
Rohrnetzmonteur
Generaldirektor
Lederschärfer
Kranschlosser
Robotereinsteller
Bühnenmaler
"Kernchemiker, Kontrollbereich - Energie, Atomkraftwerk"
EDV-Systemmanager
Postbote
Rangierer - Eisenbahn
Waldnutzer
Abgeordnetenassistent
Bausparbetreuer
Physiker - Physik (ohne Gefahrstoffe)
Schießmeister (nicht Bergbau)
Kammerjäger
Fotograf - Fotolabortechnik
Ziseleur (Glas)
Schauspieler
Logistiker
Dipl Chemiker ohne Gefahrstoffe
Streckenaufseher
Mantelhersteller (Textil)
Pfandschätzer
Destillierer Spirituosen
Zoowärter (mit Raubtierumgang)
